project_name,date,edition,score,comment,category,year,month,scoreType
Система Консилиум,2025-01-01 01:51:16,Консилиум ВИП,10,Всегда в помощь!!!!,Поддержка/Эксперты,2025,1,promoter
Система Завуч,2025-01-01 10:29:01,Завуч СуперВИП,10,всегда актуальные и полезные материалы! просто палочка-выручалочка для заместителя директора),Контент/Материалы,2025,1,promoter
Система Завуч,2025-01-01 13:56:06,Завуч СуперВИП,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-02 04:12:38,Охрана труда ВИП ,10,"Большая база нормативных документов и шаблонов, что помогает в работе специалиста по охране труда",Контент/Материалы,2025,1,promoter
А360,2025-01-02 11:05:18,Продажи А360,8,!,Общее недовольство,2025,1,neutral
Система Главная медсестра,2025-01-02 11:52:55,Главмедсестра ВИП ,8,нет возможности оценивать и комментировать публикации . поэтому нет возможности выбрать  и доверять наиболее качественной информации.,Общее недовольство,2025,1,neutral
Казахстан Система Образование,2026-06-18 08:10:13,КЗ Образование ВИП,10,отличный материал для работы,Контент/Материалы,2026,6,promoter
Казахстан Система Кадровое дело,2026-06-18 08:05:02,КЗ Кадровое дело ВИП,10,Очень удобная платформа,Платформа/Удобство,2026,6,promoter
Система Главная медсестра,2025-01-02 12:59:28,Главмедсестра ВИП ,10,без комментариев,Другое,2025,1,promoter
Система Завуч,2025-01-02 13:06:52,Завуч СуперВИП,10,"Актуальная, полезная информация. Очень удобный интерфейс системы.",Платформа/Удобство,2025,1,promoter
Казахстан Система Главбух,2026-06-18 07:45:44,КЗ Главбух ВИП,10,"Очень удобная, можно найти все свой вопросы и ответы .",Платформа/Удобство,2026,6,promoter
Казахстан Система Медицина,2026-06-18 07:41:20,КЗ Медицина ВИП,7,Программа удобная,Общее недовольство,2026,6,neutral
Казахстан Система Главбух,2026-06-18 07:32:19,КЗ Главбух ВИП,10,Хорошо,Общее удовлетворение,2026,6,promoter
Казахстан Система Кадровое дело,2026-06-18 07:22:17,КЗ Кадровое дело Плюс,10,очень полезная и доступная информация,Другое,2026,6,promoter
Система Госзаказ,2025-01-02 16:15:38,Госзаказ Плюс ,10,супер,Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-02 16:38:54,Образование ВИП,10,мне всё нравится!,Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-02 16:52:42,Образование Плюс,10,Здравствуйте.Все нравится очень полезно и интересно для меня лично.Спасибо что вы есть.,Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-02 17:52:52,Охрана труда ВИП ,10,"Добрый вечер! Мне очень нравится Система ""Охрана труда"". Палочка- выручалочка моя.",Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-02 18:41:57,Охрана труда ВИП ,0,"Шаблоны ужасные, не доработанные, отвечают долго. Сплошная вода",Контент,2025,1,detractor
Система Главбух,2025-01-02 19:20:45,БСС ВИП,10,!!!,Другое,2025,1,promoter
Система Образование,2025-01-02 21:10:00,Образование Плюс,10,10,Другое,2025,1,promoter
Система Культура,2025-01-02 22:37:44,Культура ВИП,10,Предоставляется актуальная информация!,Актуальность,2025,1,promoter
Система Образование,2025-01-03 00:00:00,Образование ВИП,10,"Все нравиться, легко работать используя материал",Контент/Материалы,2025,1,promoter
Система Госфинансы,2025-01-03 04:55:47,Госфинансы ,10,доступная информация и комментарии,Другое,2025,1,promoter
Система Главная медсестра,2025-01-03 08:37:15,Главмедсестра ВИП ,10,10,Другое,2025,1,promoter
Казахстан Система Главбух,2026-06-18 05:15:37,КЗ Главбух ВИП,10,Очень нравиться система второй год подписана. Благодарю всех сотрудников МЦФР  за сотрудничество. Рекомендую всем бухгалтерам.,Другое,2026,6,promoter
Система Образование,2025-01-03 09:14:59,Образование ВИП,9,"Всё отлично, логично и удобно, но нет регионального компонента в нормативной базе.",Платформа/Удобство,2025,1,promoter
Система Госфинансы,2025-01-03 09:27:28,Госфинансы ,10,"""Система Госфинансы"" - очень надежный помощник в работе. Всегда обращаюсь к ней за помощью и нахожу профессиональные, компетентные ответы на свои вопросы.",Поддержка/Эксперты,2025,1,promoter
Система Главбух,2025-01-03 10:19:04,БСС Плюс,7,8,Общее недовольство,2025,1,neutral
Система Госфинансы,2025-01-03 10:21:33,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-03 11:11:31,Госфинансы ВИП ,10,"Наше учреждение будет рекомендовать программу, всем своим коллегам. Спасибо Вам за Вашу работу  , за то - что облегчаете нам нашу работу.",Другое,2025,1,promoter
Система Главная медсестра,2025-01-03 11:54:00,Главмедсестра Плюс ,10,актуальные темы,Актуальность,2025,1,promoter
Система Главный врач,2025-01-03 13:33:31,Главврач ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-03 13:40:33,Образование мини,10,10,Другое,2025,1,promoter
Система Кадры,2025-01-03 13:52:00,КСС ВИП,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-03 13:55:58,БСС ВИП,8,8,Общее недовольство,2025,1,neutral
Система Охрана труда,2025-01-03 13:58:35,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-03 14:13:37,Образование мини,10,иииии,Другое,2025,1,promoter
Система Завуч,2025-01-03 15:06:21,Завуч Плюс,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-03 15:42:18,Завуч ВИП,10,много полезного материала,Контент/Материалы,2025,1,promoter
Узбекистан Система Главбух,2026-06-17 14:56:07,УЗ Главбух,10,5,Другое,2026,6,promoter
Система Главбух,2025-01-03 16:33:42,БСС упр,10,своевременность и полнота решения вопроса,Другое,2025,1,promoter
Система Образование,2025-01-03 18:52:41,Образование ВИП,10,Спасибо большое вам! Много полезной информации использую в работе,Другое,2025,1,promoter
Система Госфинансы,2025-01-03 19:56:53,Госфинансы ,9,"Удобно. Помощь всегда под рукой. Достаточно информации  для решения текущих вопросов, также по запросу можно получить ответы специалистов на  неоднозначные вопросы. Не пожалели, что приобрели в нашу ""эпоху активных бухгалтерских перемен"".",Поддержка/Эксперты,2025,1,promoter
Система Образование,2025-01-03 20:23:47,Образование ВИП,7,"Система универсальна, но несовершенна",Общее недовольство,2025,1,neutral
Система Главбух,2025-01-03 20:38:07,БСС,10,10,Другое,2025,1,promoter
Казахстан Система Госзакупки,2026-06-17 13:53:11,КЗ Госзакупки ВИП,10,Только 10,Другое,2026,6,promoter
Система Охрана труда,2025-01-04 05:36:11,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-04 05:59:45,Образование Плюс,10,"Я обязательно порекомендую ""Систему образования"" другим. Очень удобно работать.",Платформа/Удобство,2025,1,promoter
Система Образование,2025-01-04 06:48:35,Образование ВИП,10,отлично,Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-04 07:44:30,Охрана труда ВИП ,10,"Все просто и доступно. Много ответов на вопросы, а также оперативные ответы экспертов. Постоянный обзор новостей. Спасибо!",Поддержка/Эксперты,2025,1,promoter
Система Госфинансы,2025-01-04 08:11:37,Госфинансы ,10,Все доступно и понятно,Другое,2025,1,promoter
Система Завуч,2025-01-04 09:00:36,Завуч СуперВИП,10,Отлично,Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-04 09:33:05,Образование ВИП,10,"Информативно, доступно, своевременно",Другое,2025,1,promoter
Казахстан Система Главбух,2026-06-17 12:26:47,КЗ Главбух Плюс,10,"Самая лучшая информационная система. Все в одном месте, все отлично организовано.",Общее удовлетворение,2026,6,promoter
Система Охрана труда,2025-01-04 09:51:47,Охрана труда ВИП ,10,"Весьма вероятно рекомендую ""Систему Охрану труда"" очень интересно,доступно  тут все. В первую очередь проверка самого себя.Отучиться и пройти тесты.",Другое,2025,1,promoter
Казахстан Система Кадровое дело,2026-06-17 12:16:05,КЗ Кадровое дело Плюс,10,Очень удобная и полезная система,Платформа/Удобство,2026,6,promoter
Узбекистан Система Главбух,2026-06-17 12:01:36,УЗ Главбух,9,хорошо,Общее удовлетворение,2026,6,promoter
Система Госфинансы,2025-01-04 11:31:19,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-04 11:32:22,Завуч СуперВИП,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-04 11:52:33,БСС ВИП,10,можно найти ответы на все вопросы,Другое,2025,1,promoter
Система Главбух,2025-01-04 13:35:15,БСС,10,очень нравится,Общее удовлетворение,2025,1,promoter
Система Экология,2025-01-04 15:20:46,Экология ВИП ,5,не все предприятия имеют финансовую возможность подписаться на пользование системой,Общее недовольство,2025,1,detractor
Система Охрана труда,2025-01-04 15:23:23,Охрана труда ВИП ,9,Все хорошо,Общее удовлетворение,2025,1,promoter
Система Финансовый директор,2025-01-04 15:46:32,ФСС,8,Приложение плохо адаптировано к мобильным устройствам,Общее недовольство,2025,1,neutral
Казахстан Система Главбух,2026-06-17 10:43:38,КЗ Главбух ВИП,10,рекомендую всегда,Другое,2026,6,promoter
Система Госзаказ,2025-01-04 18:42:03,Госзаказ ВИП ,3,"Система неудобна. Перегружена. Затруднен поиск документа, поиск в документе. Оглавление по 20 статей - осложняет поиск статьи в документе.",Поиск,2025,1,detractor
Система Госзаказ,2025-01-04 19:06:56,Госзаказ Плюс ,10,очень полезная и актуальная информация,Актуальность,2025,1,promoter
Система Завуч,2025-01-04 20:21:20,Завуч СуперВИП,10,"Очень прекрасная система, которая помогает в работе школы.",Ценность/ROI,2025,1,promoter
Система Методист детского сада,2025-01-04 21:02:55,Методист СуперВИП ,10,Очень полезная информация для дошкольников,Другое,2025,1,promoter
Система Образование,2025-01-04 21:16:28,Образование ВИП,10,"Спасибо за предоставленную Систему. Я рекомендую всем работникам образования воспользоваться информацией ,которая размещается на страницах ""Системы Образования""- это существенная помощь в нашей работе.",Поддержка/Эксперты,2025,1,promoter
Система Образование,2025-01-04 22:04:18,Образование Плюс,10,Информация полезна для работы,Другое,2025,1,promoter
Система Образование,2025-01-05 02:00:52,Образование ВИП,10,Все хорошо,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-05 05:44:57,БСС,10,10,Другое,2025,1,promoter
Система Культура,2025-01-05 06:13:15,Культура,9,Нравиться,Другое,2025,1,promoter
Система Главбух,2025-01-05 07:44:57,БСС упр,10,"Доступность, четкость в определениях и объяснениях, оперативность .",Другое,2025,1,promoter
Система Охрана труда,2025-01-05 07:57:28,Охрана труда Плюс ,5,"Порекомендую, но обязательно предупрежу о бесконечных навязчивых рассылках, которые ни как и ни чем не отключаются.",Звонки/спам,2025,1,detractor
Система Главбух,2025-01-05 08:16:12,БСС Плюс,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-05 09:20:26,Госфинансы ВИП ,10,"Система отличная,все понятно и доступно.",Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-05 09:34:45,Образование ВИП,10,актуальная информация,Актуальность,2025,1,promoter
Система Главбух,2025-01-05 09:56:03,БСС,10,Пользуюсь  этой программой около 20 лет. Нравится.,Общее удовлетворение,2025,1,promoter
Казахстан Система Госзакупки,2026-06-17 09:17:13,КЗ Госзакупки ВИП,10,10,Другое,2026,6,promoter
Система Госфинансы,2025-01-05 10:29:19,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-05 11:49:08,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-05 12:23:32,Образование Плюс,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-05 12:48:40,БСС,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-05 12:51:02,Госфинансы ,10,10,Другое,2025,1,promoter
